Geneid,BC16_fliv_N_1.sort.bam,BC16_fliv_N_2.sort.bam,BC16_fliv_O_1.sort.bam,BC16_fliv_O_2.sort.bam,BC16_fliv_P_1.sort.bam,BC16_fliv_P_2.sort.bam,BC16_fliv_Q_1.sort.bam,BC16_fliv_Q_2.sort.bam,BC16_fliv_R_1.sort.bam,BC16_fliv_R_2.sort.bam,CTRL_fliv_B_1.sort.bam,CTRL_fliv_B_2.sort.bam,CTRL_fliv_D_1.sort.bam,CTRL_fliv_D_2.sort.bam,CTRL_fliv_E_1.sort.bam,CTRL_fliv_E_2.sort.bam,CTRL_fliv_F_1.sort.bam,CTRL_fliv_F_2.sort.bam
Mpzl3,0,0,140,140,121,122,0,0,43,43,0,0,100,98,0,0,0,0
Jaml,0,0,16,16,9,9,0,0,0,0,0,0,2,2,0,0,0,0
Gm10684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scn2b,0,0,37,37,0,0,63,60,18,17,25,25,0,0,38,38,46,46
Scn4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmprss4,0,0,22,22,4,0,0,0,0,0,0,0,4,0,0,0,0,0
Gm17099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC049352,0,0,15,15,5,5,0,0,0,0,0,0,17,17,0,0,32,32
Il10ra,0,0,74,74,206,208,0,0,0,0,0,0,86,79,9,9,0,0
Gm20612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir7086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47964,114,115,0,0,0,0,0,0,22,17,163,117,0,0,14,14,16,0
Lncbate3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmprss13,24,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fxyd6,0,0,26,26,10,9,0,23,0,0,0,0,11,11,20,21,0,0
Fxyd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm48135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4833428L15Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dscaml1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0
Gm22069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cep164,0,0,323,328,356,347,34,19,0,0,26,26,164,165,34,34,63,64
2610028D06Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7286,91,89,23,17,0,0,0,0,0,0,0,0,0,0,52,50,34,34
Bace1,77,55,139,168,268,276,90,79,14,23,157,117,88,86,51,67,43,42
Gm16536,0,0,177,165,244,260,37,37,23,0,0,0,124,147,0,0,28,28
Gm49338,0,0,0,0,33,37,8,3,0,0,0,0,5,5,0,0,0,0
Rnf214,161,160,184,179,264,264,160,173,51,69,78,80,140,131,15,15,33,33
Gm24646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcsk7,23,23,700,702,771,755,105,104,0,0,23,22,307,307,67,67,0,0
