"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Trim60",49.9062895044584,-8.38896134718125,1.94373644580439,-4.31589445435827,1.58957922140936e-05,0.00266219963516038
"Mef2b",11.6872113890717,5.31330859269364,1.52270512079222,3.48938774825244,0.000484128341195571,0.0233838541728569
"Gdf15",80.3679349460752,3.72301660599124,0.917852078113176,4.05622724485696,4.98717398142956e-05,0.00552822853999041
"Cyp4f18",22.6685775674237,4.66322644397333,1.46177079769101,3.19012149602338,0.00142212993075878,0.0460339873385111
"Mcm5",26.5178261582704,4.72394843465402,0.934636600837139,5.05431568849632,4.31936650775906e-07,0.000195743526916328
"1700122E12Rik",28.8056403881426,7.3308213698496,1.93884859090857,3.78101797336031,0.000156188396364247,0.0114597657675253
"Mast1",27.4559283832601,3.29469197776631,1.01215985112054,3.25511032088343,0.00113348326655726,0.0411903541771562
"4930513N10Rik",15.289768181259,4.96251334967862,1.28148941105013,3.87245755359931,0.000107743444084371,0.00932646621602237
"Gm45297",16.4372785778038,7.82560080780835,2.30858617863551,3.38978067192348,0.000699485630856423,0.0301895647065428
"Gm8730",15.7215550273823,-3.041847969546,0.953466830801784,-3.19030287292539,0.00142123762018787,0.0460339873385111
"Carmil2",13.2099941578894,-5.1699403939418,1.30211534948655,-3.97041659633336,7.17470691609921e-05,0.00695269711718596
"Enkd1",49.4824551185491,2.99085190809558,0.845749040427133,3.53633497069662,0.000405719899522921,0.0209074655914688
"Rpl10-ps2",24.3956812490542,6.27359058622974,1.36210926608484,4.60579099080805,4.1090094522885e-06,0.000974024886782479
"Ist1",236.613852702315,-0.689597933133514,0.15178651418727,-4.54320949938087,5.54041394132645e-06,0.00116940682202682
"Hydin",66.1191458961254,8.24813538362999,1.47960310877678,5.57455937656748,2.48157156983029e-08,1.6749305789298e-05
"St3gal2",29.2276701301775,4.39423007242186,1.28799119820947,3.4116926253305,0.000645608683151017,0.0287501115317655
"Mmp3",20.6104231359045,8.2440144742375,1.22200049333841,6.74632663340052,1.51635053593259e-11,2.1239935506954e-08
"Tmem123",179.682748410699,2.03819577614429,0.408769212410235,4.98617732026938,6.15856266010698e-07,0.000247387032546275
"Ap1m2",20.1345039453636,-4.96583003285165,1.4331263159089,-3.46503303841872,0.000530166344137889,0.0249048872880384
"Gm39302",16.6673616796147,7.84384433756034,2.33961062857905,3.35262810048194,0.000800481883739425,0.0329364235862965
"Gm48478",27.5634004165991,4.94018520009227,1.37046385389227,3.60475410282556,0.000312448617369908,0.0175062119870384
"Tbx20",23.9333807093499,3.45672283894287,0.94741798302465,3.64857212009763,0.000263701879069938,0.0158488845264658
"Gm29724",13.2860950122324,7.51687693926069,2.34801289635743,3.2013780464843,0.00136771957562321,0.0449335249919027
"Vsig2",26.1431573768625,-4.83231580966486,1.28397650885269,-3.76355468838197,0.000167515072089212,0.0119218774232796
"Siae",154.583800392679,1.41593208341109,0.426696402684649,3.31835955143389,0.000905478461693281,0.0353205370576457
"Spa17",12.9169351031988,5.35727200480455,1.54327202527844,3.47137245868107,0.00051780524266577,0.02462451598455
"Gm39326",20.9721092377565,24.0311983323875,2.73233098783143,8.79512710554159,1.42886142066375e-18,3.14512810994101e-15
"Cadm1",127.99569544285,1.22193834024262,0.310918390450085,3.93009348361076,8.49128414807205e-05,0.00807615470083298
"Rexo2",196.778686016231,0.760759024818798,0.201046801083032,3.78398970150541,0.000154334212129861,0.0114597657675253
"Colca2",15.6553706125087,-6.70465803032691,2.11070071312323,-3.17650815610232,0.00149059598057085,0.0474526918773463
"Gm1715",13.4111825210402,7.5305622999672,2.35717287672082,3.19474331914227,0.00139955253968512,0.0456861703923313
"Hexa",177.005991574224,0.979641372477964,0.16552974394215,5.91821958487614,3.25445285468512e-09,3.34297397233256e-06
"Cilp",14.0499476444221,7.19172343941803,1.4955828965279,4.80864247385693,1.51958706386951e-06,0.000492410357613428
"Herc1",74.8830564208388,-1.84956153394161,0.575809254634388,-3.21210803587379,0.00131764814688775,0.0442853053479179
"Bmp5",12.1714122413247,5.07711496034159,1.29531505402123,3.91959851356624,8.86966009148542e-05,0.00833315382253703
"Gsta1",18.2804798115003,5.88866870448154,1.05125366831857,5.60156780608452,2.12421661404646e-08,1.63649647946139e-05
"Dipk2a",166.48460477492,0.974816741348209,0.258612505074919,3.76941069058438,0.000163633446642502,0.0117970407556462
"Slc25a36",44.5367242535809,-2.8550703715754,0.849688183291078,-3.36013896358653,0.000779032771979793,0.0323953705642461
"Mras",19.9731047487255,-3.86076621445873,1.20040043577033,-3.21623193345575,0.00129885814480455,0.0441783803424913
"Glyctk",279.292730166934,-1.21253436526739,0.339885308729715,-3.567480953499,0.000360429568622069,0.0194178279487022
"Rpl29",641.207222812342,0.573600905618386,0.170130818665529,3.37152851034041,0.000747523011184521,0.0316437618300561
"Zmynd10",10.6903161606477,4.32062476035614,1.31938993692517,3.27471404733109,0.00105768977056401,0.0389877607293068
"Cspg5",25.9792024105084,-7.44033702724202,2.0318886295781,-3.66178387876846,0.00025046511708531,0.0154366660962018
"Prss50",25.0580691043121,6.25442693919642,1.63585258809883,3.82334385426823,0.000131653977385746,0.0103496147120386
