"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Plxdc1",42.4837465071738,3.32552141256152,0.913304731353619,3.64119586639251,0.000271374574638713,0.012136568678186
"Tcap",131.730169225789,-9.5599696649713,1.7079068515537,-5.59747720215216,2.17493441931032e-08,2.76632745663061e-06
"Ikzf3",16.3925959407854,-6.31875893686446,1.84307674771429,-3.42837537541545,0.000607205246995226,0.0202776053602721
"Lrrc3c",22.807623207708,8.19131560540982,2.39889178686687,3.41462489064931,0.000638699049226858,0.0208067950847244
"Nr1d1",187.323800243233,0.953853990527003,0.254105482768656,3.75377178065621,0.00017419347165304,0.00872578051325007
"Krt12",13.2555603789652,-6.92866956826449,2.22022142000998,-3.12071107224672,0.00180414952112248,0.0405365515291221
"Acly",796.318671956845,-2.08451895742118,0.537323506198416,-3.87944866244403,0.000104693493426882,0.00598184268888672
"G6pc",252.06552227157,-1.53093131783613,0.460023190476653,-3.32794378529016,0.000874895186353983,0.0258005884895156
"Higd1b",26.8439915282947,-7.73054645853586,1.98915104930903,-3.88635466432839,0.00010176080337616,0.00583707949405134
"Efcab15",20.0768417289357,7.55133453385565,2.28453853196323,3.30540913545737,0.000948378492450846,0.0274148857886927
"Gm11682",23.7671589684981,-7.77379791992449,2.20864250376182,-3.51971761237229,0.000432006483671068,0.0166288390438334
"Cd300e",44.3055028575899,-6.26874548607301,1.94783456095211,-3.21831515455236,0.00128946052552812,0.0334667704189069
"C1qtnf1",40.101313157741,3.70421744285039,1.16218287225565,3.18729309412465,0.0014361116642556,0.0356756906220775
"Slc16a3",24.4823233623748,4.58981648864118,1.44056554915829,3.18612123642896,0.00144194158517177,0.0356756906220775
"Gm31938",21.9939318561925,8.13826468414541,2.41958041718936,3.363502459488,0.000769601505281184,0.0238276727258588
"Gm4755",20.2043698209536,8.0148805705516,2.45711702952161,3.26190428630583,0.00110666502582642,0.0305418666655907
"Fam49a",30.9573312261025,-3.41260491673712,1.010178617793,-3.37821931352383,0.000729568699889948,0.0229000029469748
"Gm5432",18.8104155611036,-7.44187738675694,2.10860783709267,-3.52928470427091,0.000416684593111116,0.0162416101716619
"Gm48557",17.8786429614348,6.23312866331493,1.83780457063093,3.3916166946821,0.000694815681122068,0.0221417624570207
"Pdia6",377.87785232097,-1.21187540575183,0.378463516511154,-3.20209307603397,0.00136432907559198,0.0344993165125065
"Gm17746",29.2700674503465,-8.11838417595768,1.59099915848319,-5.10269545566415,3.34849621588819e-07,3.94987533466101e-05
"Hdac9",30.1168102829515,-4.44750734332544,1.08851585647076,-4.08584525148339,4.39166427655748e-05,0.00285497214992028
"Gm7370",28.7347028402011,8.52748391650258,2.35512331801263,3.62082267679235,0.000293667742742428,0.0128993335528333
