"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Hs6st1",142.337633203341,-1.9194838637586e-07,0.00144269333132772,0.855887437626496,0.968474915751391
"Gm33280",0.547006000502958,-2.26877091126017e-07,0.00144269492145654,0.689609084926643,NA
"Uggt1",168.742502627201,-1.49373666882514e-06,0.00144269340617633,0.223186871588954,0.59269324087357
"Neurl3",38.3432769309104,8.63350815526974e-07,0.00144269425420219,0.325315348560819,0.703729944184258
"Arid5a",25.9786926687666,9.78074450372922e-07,0.00144269455275453,0.180035620057225,0.536986340656003
"Kansl3",201.194348024244,2.13432335728761e-06,0.00144268415188828,0.464739418237051,0.808100745429547
"Fer1l5",39.6668714584524,-2.99856003906314e-07,0.0014426946060699,0.597448800479611,0.880219997094064
"Lman2l",43.404897599648,3.30613205536389e-07,0.00144269408046145,0.702055697737558,0.919982745051244
"Cnnm4",3.31579804462861,1.02348215175224e-07,0.00144269487154096,0.532925427432778,NA
"Cnnm3",37.5818706434531,3.13968067737269e-07,0.00144269421897948,0.630706069569553,0.894521877566608
"Ankrd23",1.3471440606279,-2.73282487273802e-07,0.00144269494456386,0.482698795442008,NA
"Ankrd39",3.4207773860235,-8.40192450966578e-07,0.00144269489894047,0.0815911101767755,NA
"Sema4c",2.88964242542941,-1.83757734495011e-07,0.0014426948620636,0.85221952539584,NA
"D430040D24Rik",0.0698265653836964,-7.29794486650449e-09,0.00144269491552947,0.860467992307087,NA
"Fam178b",0.0337475629784218,-1.69113683614394e-07,0.00144269498067844,0.959247912262522,NA
"Cox5b",1030.91342671149,2.644091433405e-05,0.00144280924102632,0.491647579350309,0.824788294891268
"Actr1b",213.679638847783,-1.59815090280663e-06,0.00144267423225197,0.677240944817613,0.911692034220855
"Zap70",33.5341216172682,-2.22633832724645e-07,0.00144269440769876,0.615561517667439,0.88856127348771
"Tmem131",85.4989499753063,2.18556505941589e-06,0.0014426884846778,0.465819131693103,0.808651716827576
"F830112A20Rik",15.0657584099998,3.04634740952835e-07,0.00144269503804823,0.0917356142748923,0.366216383733311
"Rpl12-ps1",0.0698265653836964,-7.29794486650449e-09,0.00144269491552947,0.860467992307087,NA
"Vwa3b",0.851907421165473,1.31016304739323e-07,0.00144269491198546,0.738923901067723,NA
"Inpp4a",138.072526532574,3.26659872665166e-06,0.00144269199182211,0.155463419723568,0.495034916723309
"Gm37135",0.180395012026373,2.3028015215283e-07,0.00144269500461045,0.504346813842024,NA
"Coa5",296.655375456316,-3.43450859003872e-06,0.00144268633762717,0.215278441137954,0.582228755608188
"Unc50",21.489261054254,-2.28702213040425e-07,0.001442694664914,0.618203897171634,0.88868379460463
"Mgat4a",32.7760812611915,6.91242745383733e-07,0.00144269493384189,0.112140969324991,0.411951449584235
"2010300C02Rik",5.93583399048245,-6.61982269113185e-07,0.00144269507184356,0.0402894533166895,NA
"Tsga10",4.48439529437461,7.59314630092777e-07,0.00144269471462696,0.568626069747969,NA
"Lipt1",8.79386902631907,1.41012383567401e-07,0.00144269469447817,0.780879465977842,0.944663299053668
"Mitd1",75.245991542217,-8.59225343434973e-07,0.00144269354435405,0.427557818054872,0.781406890466476
"Mrpl30",176.193602649859,8.49521812830189e-07,0.00144269023311955,0.675891504298313,0.911240426051136
"Txndc9",168.217287595602,2.81922361988478e-06,0.00144269518009998,0.0205411937081329,0.162145731445688
"Eif5b",3156.43357360308,9.47421775568078e-07,0.00144269257690255,0.497323606939844,0.827823114856334
"Rev1",55.4933690313359,-4.27502025671495e-06,0.00144269718696223,0.0118845661094289,0.128576589114361
"Aff3",16.0080675999815,3.8449294652762,1.56018218831144,0.000301360997806272,0.0130531981046051
"Chst10",17.1398040826377,6.98671775254721e-07,0.00144269510978835,0.00172936089429776,0.0396873794494718
"Gm6621",0.0507124852435848,-1.7299491960194e-07,0.00144269498427674,0.942933357265358,NA
"Pdcl3",77.4362316962857,9.91301593145832e-07,0.00144269317055493,0.422083001647166,0.778047645254328
"Gm37309",0.602145881671474,-2.15908359703884e-08,0.00144269484093655,0.968390626724007,NA
"Npas2",2.12909946987528,3.16672648532863e-07,0.00144269492152846,0.389042407156498,NA
