"","BC12_fliv_G_1.sort.bam","BC12_fliv_G_2.sort.bam","BC12_fliv_J_1.sort.bam","BC12_fliv_J_2.sort.bam","BC12_fliv_K_1.sort.bam","BC12_fliv_K_2.sort.bam","CTRL_fliv_B_1.sort.bam","CTRL_fliv_B_2.sort.bam","CTRL_fliv_D_1.sort.bam","CTRL_fliv_D_2.sort.bam","CTRL_fliv_E_1.sort.bam","CTRL_fliv_E_2.sort.bam","CTRL_fliv_F_1.sort.bam","CTRL_fliv_F_2.sort.bam"
"Pak7",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.93652493627838,6.84066785633991,6.99190180395049,6.99215549629785,6.84066785633991,6.84066785633991,7.61614581982912,7.61698969307016
"Kif16b",6.84066785633991,6.84066785633991,7.56477251221341,7.56583829875021,7.19881236761375,7.19952142066662,8.07531874797079,8.0808831639678,7.63410603024551,7.6354055589224,7.68595949758717,7.68947926826533,8.08809218025869,8.0756309432654
"Pax1",6.84066785633991,6.84066785633991,6.95399770805038,6.95416792179902,6.84066785633991,6.84066785633991,8.44094611483416,8.4478934638562,6.84066785633991,6.84066785633991,7.83790611692466,7.65828278912221,6.84066785633991,6.84066785633991
"Syndig1",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.15312134799134,8.15899331942187,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.98750403075061,7.97344284350283
"Zfp937",6.84066785633991,6.84066785633991,7.0256555636612,6.9871706461187,6.84066785633991,6.84066785633991,7.89838405558982,8.4244949842899,6.99190180395049,6.99215549629785,7.49509602292999,6.84066785633991,7.39227279251445,7.48674193083217
"Slc52a3",6.84066785633991,6.84066785633991,6.90611009055647,6.90620841410797,6.84066785633991,6.84066785633991,7.4719563353604,7.47492663141709,7.04349532216913,7.0438353128247,6.84066785633991,6.84066785633991,8.04623675055366,8.04750695065972
"Hck",6.84066785633991,6.84066785633991,7.31053950579593,7.31123939521835,6.84066785633991,6.84066785633991,7.97315390011242,7.97830415710616,7.42652262298779,7.41982348325809,7.96694226413395,7.97153398464667,7.95673132085276,7.95791635638786
"Gm14230",8.78807001486289,8.85152706717068,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.90832650488287,6.90844008440885,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Rbl1",8.23636816655394,8.23992586040916,7.42923326146998,7.43010560985593,7.80590365808138,7.80775568690694,6.84066785633991,6.84066785633991,7.35764103421364,7.36282292192646,6.84066785633991,6.84066785633991,7.03672881391643,7.03694695158951
"Cd40",6.84066785633991,6.84066785633991,7.08525823793154,7.08562490559305,6.84066785633991,6.84066785633991,7.77295663570251,7.77726355716335,7.18487526554656,7.18545046475229,6.84066785633991,6.84066785633991,8.10166466307934,8.10298657321356
"Gm22692",8.2833424488403,8.47731568481368,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Atp9a",8.48294321531369,8.48701959683955,8.3294071038998,8.3278188972447,7.92731996247712,7.9922103173806,9.48446226990533,9.38216864512227,8.31823436174751,8.32835113988559,9.3056533953714,9.23394190243358,8.86434752213204,8.78698033620378
"Tfap2c",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.0590136278488,8.09699100638055,6.84066785633991,6.84066785633991,7.70103043094888,7.65828278912221,6.84066785633991,6.84066785633991
"Pmepa1",8.47325885966199,8.5061905689701,7.59528254433567,7.59093672954776,7.78707856682616,7.65796913046785,6.84066785633991,6.84066785633991,7.33547218974503,7.33172852795813,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Stx16",9.06400111412982,9.0691256976001,8.77209949086964,8.73899213796664,8.38729900938139,8.36555639624386,8.10715547320785,7.88345102180339,8.4230996476692,8.42312736622973,7.96694226413395,7.89128731079479,7.94095841417483,7.94212823454462
"Fam217b",6.84066785633991,6.84066785633991,7.07638115454155,7.07673457475383,6.84066785633991,6.84066785633991,8.35718075646807,8.36382555041514,7.05444725715939,7.05480554059482,6.84066785633991,6.84066785633991,7.85773101541728,7.85881955894307
"Zbtb46",6.84066785633991,6.84066785633991,7.71500349557749,7.71164691937698,7.18052034186694,7.18119352315115,8.80620979263281,8.77961320908043,7.49794606755351,7.50239241520936,8.52777206620546,8.54075906086867,7.89195026912294,7.89307242928287
"Stmn2",8.13574238184951,8.13907630754625,7.07638115454155,7.07673457475383,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Gm43672",6.84066785633991,6.84066785633991,7.33240446061829,7.33313630883809,7.19881236761375,7.19952142066662,7.79518353937853,7.79958605192751,7.30257921201066,7.31300467090782,7.67058370333096,7.67404290036206,7.92491250049197,8.27662561145424
"Gm38197",6.84066785633991,6.84066785633991,6.84066785633991,6.9333482350237,6.84066785633991,6.84066785633991,7.93652493627838,7.9225741506928,6.93634287033059,6.9580312274985,6.84066785633991,6.84066785633991,7.92491250049197,7.97344284350283
"Gm37024",8.4925483464447,8.49664405752768,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Gm42695",8.70261632075577,8.70711799764628,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Platr4",8.58455036299788,8.58882783359104,7.05752957561491,7.05785484145334,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.90832650488287,6.90844008440885,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Gm38034",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.13802610875832,8.12845953826059,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.56712618829045,7.56791898389182
"Trpc4",8.23636816655394,8.23992586040916,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Vmn2r4",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.4862184191283,8.4821317445869,6.84066785633991,6.84066785633991,7.38472566007142,7.38702854724858,6.84066785633991,6.84066785633991
"Rapgef2",7.18182169881109,7.1827540031638,7.52681753197654,7.51567020868692,7.81208611690927,7.72957911401782,8.67100093386182,8.67873383412917,7.50796043476709,7.56309276103768,8.08036201175087,8.02492690506627,8.22840194743706,8.26511629715329
"Tmem154",8.6700271665158,8.67446797657053,7.08525823793154,7.07673457475383,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.99190180395049,6.99215549629785,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Crabp2",8.54859615247211,8.55280332373138,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"AI849053",8.31729835887313,8.32103100936337,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Fdps",6.84066785633991,6.84066785633991,7.55043350711995,7.5032713987554,7.4476466291825,7.4384093041147,6.84066785633991,6.84066785633991,6.90832650488287,6.90844008440885,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Hormad1",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.93652493627838,7.9032240964724,6.84066785633991,6.84066785633991,7.71581239588536,7.70460939503736,6.84066785633991,6.84066785633991
"Plekho1",9.24508452237114,9.25048586977988,7.70805531376234,7.68084515943354,7.99508033458576,7.95079863419146,7.67734285023543,7.68123337833995,7.80326925356249,7.79816008678819,7.47464836901585,7.49785165613871,7.54121684304482,7.54198246613747
"Pde4dip",9.2556266701848,9.25577500662279,9.49333181859922,9.52762921889617,8.77655777053796,8.86486013901246,8.25313318430528,8.27299723510596,8.49703059515094,8.47690856404312,8.85076372473418,8.7319495631238,8.31997821173613,8.35399946779797
"Gm42820",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.68595949758717,7.67404290036206,7.95673132085276,7.95791635638786
"Gm43465",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.65146295108233,7.65523938391178,6.84066785633991,6.84066785633991,7.8122815840429,7.87922391533641,7.56712618829045,7.18011196539003
"Gm42939",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.21619719331274,7.21694028693437,9.6709584001526,9.64500540922314,6.84066785633991,6.84066785633991,8.12792077724453,8.08536578940483,8.75499309771461,8.66187372929199
"Gm43061",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.31929695694349,8.32580207248051,7.01957755581191,7.01987756388026,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Gnai3",8.70261632075577,8.70711799764628,8.89088969142393,8.89506129706744,8.94533671257887,8.9489108691429,10.1187151914562,10.1266545403119,9.17464203035054,9.17525589836271,9.40774134177121,9.41323255726788,9.59228703595364,9.59061046098525
