Geneid,BC12_fliv_G_1.sort.bam,BC12_fliv_G_2.sort.bam,BC12_fliv_J_1.sort.bam,BC12_fliv_J_2.sort.bam,BC12_fliv_K_1.sort.bam,BC12_fliv_K_2.sort.bam,CTRL_fliv_B_1.sort.bam,CTRL_fliv_B_2.sort.bam,CTRL_fliv_D_1.sort.bam,CTRL_fliv_D_2.sort.bam,CTRL_fliv_E_1.sort.bam,CTRL_fliv_E_2.sort.bam,CTRL_fliv_F_1.sort.bam,CTRL_fliv_F_2.sort.bam
Gm11629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl19,498,140,3275,3475,1650,1775,203,268,4617,5229,644,793,414,503
Gm27597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stac2,0,0,0,0,28,28,0,0,1,1,33,33,0,0
Gm11631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fbxl20,0,0,494,500,127,130,274,268,274,299,37,37,29,29
Gm11632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Med1,76,76,347,348,96,96,227,225,169,161,61,61,6,25
Gm11604,1,0,7,5,1,0,0,0,1,3,0,0,0,0
Cdk12,0,0,217,227,128,131,90,104,154,152,27,27,8,14
Gm27399,0,0,3,4,0,0,0,0,0,0,0,0,0,0
Mir5119,0,0,3,3,0,0,0,0,0,0,0,0,0,0
n-R5s73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm20644,0,0,3,2,0,0,1,0,0,0,0,0,0,0
Neurod2,0,0,0,0,0,0,0,0,0,0,0,0,21,17
Ppp1r1b,0,0,102,102,18,18,0,0,46,46,17,17,0,0
1700003D09Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stard3,0,0,222,226,117,116,0,0,194,190,48,48,0,0
Tcap,0,0,3579,3543,113,113,0,0,2,2,0,0,0,0
Pnmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pgap3,0,0,48,48,0,0,0,0,44,40,0,0,0,0
Erbb2,0,0,45,43,29,29,49,47,33,34,0,0,0,0
Gm25048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mien1,0,0,356,341,56,54,0,23,465,467,0,0,0,0
Gm12352,0,0,0,0,0,0,0,0,4,4,0,0,20,16
Grb7,84,83,2221,2209,254,253,78,78,1295,1290,129,123,83,83
Ikzf3,50,50,27,27,0,0,0,0,3,3,0,0,0,0
Gm25106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zpbp2,0,0,7,7,0,0,0,0,2,2,0,0,0,0
Ormdl3,126,125,792,774,198,198,32,32,890,881,106,104,87,87
Lrrc3c,0,0,0,0,0,0,36,36,0,0,0,0,36,30
Srsf3-ps,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Gsdma3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gsdma2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gsdma,0,0,4,4,0,0,0,0,0,0,0,0,0,0
Psmd3,0,0,1081,1083,275,262,46,46,828,823,77,78,18,18
Gm12356,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Csf3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Med24,31,31,359,360,96,95,0,0,134,134,21,21,63,64
Gm22059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thra,68,66,240,240,73,57,0,0,198,212,34,11,37,37
Nr1d1,39,37,684,702,145,183,105,73,1013,1022,128,149,132,115
Msl1,68,68,822,830,308,292,45,42,635,586,206,197,100,88
Gm12359,0,0,21,12,0,0,0,0,0,0,0,0,0,0
Casc3,0,0,409,404,159,158,20,20,208,210,65,64,48,49
Rapgefl1,0,0,47,47,37,39,133,103,4,4,43,24,0,0
Wipf2,0,0,161,160,42,59,49,55,103,104,16,16,56,59
Gm23640,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdc6,0,0,1,1,0,0,0,0,3,3,0,0,0,0
Rara,278,282,443,421,187,174,108,108,292,296,209,203,128,126
Gm22061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gjd3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top2a,44,44,37,37,0,0,13,24,25,25,23,23,0,0
Gm26394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igfbp4,777,774,22329,22304,5805,5817,664,660,17428,17407,2272,2262,1154,1148
Tns4,0,0,5,5,16,15,31,29,8,8,0,0,0,0
Ccr7,106,107,7,7,0,0,0,0,5,5,0,0,15,15
Smarce1,0,0,475,480,83,58,144,153,350,347,24,38,112,90
Krt222,0,0,18,18,0,0,0,0,14,14,0,0,0,0
