"Geneid","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Ctr9",65.0187488588258,-4.73861120916994e-06,0.00144269662642765,0.000738048908748422,0.0314852990183125
"Galnt18",15.7714117130111,5.02682480818137,1.2424998041636,5.15456603299848e-06,0.00110307713106167
"Gm26967",22.5333964524761,-1.43858216164416e-06,0.00144269531825823,1.1392294612744e-05,0.0021148491011224
"Gm14388",11.4767189256491,-1.09634818080992e-06,0.00144269521891292,0.000202878930275789,0.0131896985556513
"Glud-ps",17.4248673255111,-3.72995268924153e-06,0.00144269671719312,0.000142899444512848,0.0108597446508903
"Ino80e",25.5222424524406,-4.03295523088444e-06,0.00144269701280286,3.61917266947042e-05,0.00457083708944264
"Mylpf",25.5728032894959,-2.58886561918819e-06,0.00144269603720859,3.12002106957066e-06,0.000788086633441717
"Rgs10",41.8630282327962,-2.58858390417881e-06,0.00144269549652189,0.00155956395450977,0.0486432417228473
"Htra1",24.7295627088094,4.75930448061515,1.7402586320923,0.000254848635235413,0.0155335989350833
"Dmbt1",33.0657913214086,-4.50373981267293e-07,0.00144269507422131,3.41399644148191e-21,1.31507142925883e-17
"Cdcp3",39.7332609954541,7.55532879194741e-07,0.00144269513418191,3.09578214496792e-05,0.00429728029636628
"Cpxm2",17.1530030341377,4.81130649507899,0.912030863025549,2.50022087976282e-08,1.6749305789298e-05
"Lrrc27",18.4611452699875,-2.97471158624955e-06,0.0014426962084055,3.41385444678137e-05,0.00446163855007113
"Pwwp2b",22.7943331212326,2.38138198539395,1.12235241756812,0.00104939651808004,0.0389022003257358
"Proz",1448.66477937131,-0.700449730184977,0.200582989005065,1.72538391060951e-05,0.00276924117652826
"Tcim",172.632884979689,-1.29218806170601,0.302251451804646,6.545836025296e-07,0.000252145603694402
"Nrg1",15.402440202575,3.80237095512976,1.4785627179851,0.000413551058237511,0.0211694176256597
"Trim60",49.9062895044584,-8.59128284008225e-07,0.00144269516493513,1.58957922140936e-05,0.00266219963516038
"Mef2b",11.6872113890717,4.46254549350621,1.74386857792417,0.000484128341195571,0.0233838541728569
"Gdf15",80.3679349460752,3.21419164494027,0.991181695314581,4.98717398142956e-05,0.00552822853999041
"Cyp4f18",22.6685775674237,3.47034250920901,1.86351054981308,0.00142212993075878,0.0460339873385111
"Mcm5",26.5178261582704,4.35033687623501,0.942648195193274,4.31936650775906e-07,0.000195743526916328
"1700122E12Rik",28.8056403881426,6.75190325212475,2.22664047639235,0.000156188396364247,0.0114597657675253
"Mast1",27.4559283832601,2.50067020339605,1.22419142414199,0.00113348326655726,0.0411903541771562
"4930513N10Rik",15.289768181259,4.25365874829411,1.37071925892285,0.000107743444084371,0.00932646621602237
"Gm45297",16.4372785778038,6.85187668155704e-07,0.00144269511446147,0.000699485630856423,0.0301895647065428
"Gm8730",15.7215550273823,-2.64427996714209e-06,0.00144269552467592,0.00142123762018787,0.0460339873385111
"Carmil2",13.2099941578894,-1.92657044889579e-06,0.00144269554877585,7.17470691609921e-05,0.00695269711718596
"Enkd1",49.4824551185491,2.39608943598761,0.978532552709621,0.000405719899522921,0.0209074655914688
"Rpl10-ps2",24.3956812490542,5.7732402821759,1.41285602816384,4.1090094522885e-06,0.000974024886782479
"Ist1",236.613852702315,-0.613206742557936,0.16187864312176,5.54041394132645e-06,0.00116940682202682
"Hydin",66.1191458961254,8.02318461850966,1.53575729911462,2.48157156983029e-08,1.6749305789298e-05
"St3gal2",29.2276701301775,3.47562697530749,1.50507590771971,0.000645608683151017,0.0287501115317655
"Mmp3",20.6104231359045,11.6287826888881,3.26678672810964,1.51635053593259e-11,2.1239935506954e-08
"Tmem123",179.682748410699,1.86038620560636,0.428411932266086,6.15856266010698e-07,0.000247387032546275
"Ap1m2",20.1345039453636,-1.1836613821186e-06,0.00144269518539026,0.000530166344137889,0.0249048872880384
"Gm39302",16.6673616796147,6.69054457976729e-07,0.00144269511098344,0.000800481883739425,0.0329364235862965
"Gm48478",27.5634004165991,4.0563454564709,1.53997577785548,0.000312448617369908,0.0175062119870384
"Tbx20",23.9333807093499,2.85783487010821,1.04526335107033,0.000263701879069938,0.0158488845264658
"Gm29724",13.2860950122324,6.48161131285193e-07,0.00144269510523713,0.00136771957562321,0.0449335249919027
"Vsig2",26.1431573768625,-1.71785756732607e-06,0.00144269542107295,0.000167515072089212,0.0119218774232796
"Siae",154.583800392679,1.08248987640089,0.510926943205838,0.000905478461693281,0.0353205370576457
"Spa17",12.9169351031988,4.45985304963038,1.76890216486245,0.00051780524266577,0.02462451598455
"Gm39326",20.9721092377565,3.62129722846019e-07,0.00144269495051811,1.42886142066375e-18,3.14512810994101e-15
"Cadm1",127.99569544285,1.03914176876304,0.340599152065127,8.49128414807205e-05,0.00807615470083298
"Rexo2",196.778686016231,0.635693496979181,0.224719147503955,0.000154334212129861,0.0114597657675253
"Colca2",15.6553706125087,-6.70511504777104e-07,0.0014426951102643,0.00149059598057085,0.0474526918773463
"Gm1715",13.4111825210402,6.44164788434052e-07,0.00144269510447936,0.00139955253968512,0.0456861703923313
"Hexa",177.005991574224,0.920579127217688,0.170596664704084,3.25445285468512e-09,3.34297397233256e-06
"Cilp",14.0499476444221,7.86705399533153,1.91346288386495,1.51958706386951e-06,0.000492410357613428
"Herc1",74.8830564208388,-4.94128102784709e-06,0.00144269639802484,0.00131764814688775,0.0442853053479179
"Bmp5",12.1714122413247,4.43392180918518,1.38497520025578,8.86966009148542e-05,0.00833315382253703
"Gsta1",18.2804798115003,5.5989750459999,1.06193452403909,2.12421661404646e-08,1.63649647946139e-05
"Dipk2a",166.48460477492,0.813837152447353,0.287482259257795,0.000163633446642502,0.0117970407556462
"Slc25a36",44.5367242535809,-3.05425986054216e-06,0.00144269582540124,0.000779032771979793,0.0323953705642461
"Mras",19.9731047487255,-1.96467818379793e-06,0.00144269545349737,0.00129885814480455,0.0441783803424913
"Glyctk",279.292730166934,-0.972138109080934,0.396399320884474,0.000360429568622069,0.0194178279487022
"Rpl29",641.207222812342,0.45157404563563,0.199778198016369,0.000747523011184521,0.0316437618300561
"Zmynd10",10.6903161606477,3.35009334590169,1.55323997401777,0.00105768977056401,0.0389877607293068
"Cspg5",25.9792024105084,-7.19950290624302e-07,0.00144269512469065,0.00025046511708531,0.0154366660962018
"Prss50",25.0580691043121,5.42895087355382,1.7968060139572,0.000131653977385746,0.0103496147120386
"Gm47113",16.8541235218287,-1.14057529436682e-06,0.0014426952439344,4.13974540636482e-05,0.00501283362672799
"Gm47121",14.4705929094544,-7.16081169247704e-07,0.00144269511932337,0.0012116005322718,0.0428172958744125
"Esr1",132.077366236288,-0.541443370041939,0.190418814679249,0.000134739138282717,0.0104727563265992
"Shprh",101.281115803368,-5.07349911584318e-06,0.00144269777641002,6.09864277910069e-05,0.00622303893644924
"Gm33104",12.4500237091326,8.92087078250226e-07,0.00144269515650653,0.00133656841477254,0.0446366268112829
"Map7",97.651632086672,-5.80109848779752e-06,0.00144269776798812,0.000327775028348741,0.0181016402752595
"Pde7b",40.7157200667396,2.29684707777033,1.31031322173844,0.001614258333659,0.0493832494896414
"Rnf146",16.3879640116294,-1.63339935043851e-06,0.00144269538561813,7.69878964121537e-05,0.0074139344244904
"Sobp",33.8828220712718,4.65388176536287,1.15640087763087,1.87147574961348e-06,0.000565384651555181
"Pln",9.12423908048879,4.8511847450127,1.53535249534619,0.000108828457159271,0.00935499054255237
"Ppa1",285.754235405035,-7.31860561518837e-06,0.00144269752500002,0.00140248952463478,0.0456861703923313
"Hk1",36.2702327935127,3.33147078568611,1.26158517788124,0.000307094193999451,0.0174724201904891
"Pbld1",664.513546429002,-1.35784238669365e-05,0.00144270282723472,0.00130954377636013,0.0442853053479179
"Rtkn2",19.3464918955104,5.47606298003625,1.74792347794361,0.000109287272693369,0.00935499054255237
"A930033H14Rik",37.1602322984849,-1.77751696680991e-06,0.00144269540920015,0.000530025121440983,0.0249048872880384
"Gm19688",12.3365656530829,9.40395450179084e-07,0.00144269517941315,0.00018813235634676,0.0127697944783739
"Slc5a4b",23.7020249181351,-9.78342654862531e-07,0.00144269519210074,9.80979829206241e-05,0.00889113953435869
"Abca7",38.0395227283814,-2.84652170387997e-06,0.00144269579938344,0.00105098983905829,0.0389022003257358
"Gng7",15.4090161732732,3.872757344706,2.14185275130875,0.00161533993657706,0.0493832494896414
"Cactin",71.9549890293269,-2.05817719417981,0.583746649399699,1.41271925657863e-05,0.00247354298924585
"S1pr4",13.8415231331346,-2.30681544575712e-06,0.00144269561428028,0.000613379974147244,0.0275538152818097
"Txnrd1",288.959962648259,-0.747760769279342,0.397058660459529,0.00124650326035314,0.0432570320619847
"Timp3",14.3308907327017,3.2822965368529,0.989004707222974,5.89284559888492e-05,0.00615430138294063
"Dram1",11.1927893849204,3.21704536624107,1.392141886965,0.000789818399193409,0.0327137685343335
"Chpt1",360.849328915171,0.775346171254723,0.263367559560989,0.000106624224672203,0.00928172911722772
"Gm48521",23.5769969475996,7.10950264677095e-07,0.00144269512182814,0.000237024358393606,0.0149059204280322
"Gm34574",14.7343551141283,5.11057349799139,1.36287424348044,1.49157643853434e-05,0.00255357886277078
"Lin7a",67.9232321807995,-3.07190147154037e-06,0.00144269567290035,0.00153363500996868,0.0482249963950967
"A130012E19Rik",10.9538844980048,9.41611443355152e-07,0.00144269517131,0.000941716684131165,0.0360944544007288
"Cpm",23.3586619009411,4.03019142197169,1.51433721612752,0.000307309571107383,0.0174724201904891
"Gm10744",14.9658239038329,-7.67271019714588e-07,0.00144269513171884,0.000860553589758891,0.0341055565398425
"Rassf3",175.660839069568,1.22803727221085,0.387094198972464,5.73011412918528e-05,0.00613122211822825
"Ppm1h",32.2744327542585,2.40535754316835,0.918895384857463,0.000297963680941096,0.0172594902103023
"Gm47438",18.0068380414946,5.03476565092743,1.17672146763211,2.01334676765791e-06,0.000585314094265529
"Stat2",675.624700211841,-0.575589403271297,0.188454254842338,7.07474258729756e-05,0.00694316138758477
"Olfr819",15.1430799838606,6.59113069595226e-07,0.00144269510836246,0.0010443154983627,0.0389022003257358
"Morc2a",123.98617431711,-1.07136406126756,0.245933945107237,6.26174342504201e-07,0.000247387032546275
"Osbp2",19.2590355956684,-1.55441668365993e-06,0.0014426954011832,4.31290417777351e-05,0.00503606934278956
"Ap1b1",181.188624572969,-1.34112969789589,0.41019454571058,3.25041183334335e-05,0.00440666162305242
"Emid1",33.8129642441473,5.68330268663946,1.52814560684868,1.4318527320811e-05,0.00247887493212422
"Fignl1",12.893662057797,-1.70685783175482e-06,0.00144269541637206,0.000342480651874997,0.0187125598726594
"Plek",74.2855550351776,3.00287791839439,0.941125050476281,5.48683538159816e-05,0.00595360278589187
"Vps54",208.135670231153,0.932287324633299,0.4540582495438,0.00105284381722688,0.0389022003257358
"Rps27a",753.151902077223,-0.563057329026855,0.24980476194636,0.0005960208828126,0.0270599171749792
"Acyp2",15.9372389096867,3.58483345984942,1.23694413905801,0.000189658998946328,0.0127699282399106
"Sh3pxd2b",27.1144669700127,3.63270037994309,1.5431349156792,0.000587344402789235,0.0268540135257464
"Gm12185",18.2485504480355,4.90999188426563,1.73384625741235,0.000229959324897303,0.0146413771818911
"Hnrnph1",476.555901283135,-1.02826590443228,0.274419780986841,6.02400749748991e-06,0.00123757210028433
"Grm6",15.7760148839351,6.79914588471857e-07,0.00144269511321542,0.00086496433730772,0.0341055565398425
