"","BC16_fliv_N_1.sort.bam","BC16_fliv_N_2.sort.bam","BC16_fliv_O_1.sort.bam","BC16_fliv_O_2.sort.bam","BC16_fliv_P_1.sort.bam","BC16_fliv_P_2.sort.bam","BC16_fliv_Q_1.sort.bam","BC16_fliv_Q_2.sort.bam","BC16_fliv_R_1.sort.bam","BC16_fliv_R_2.sort.bam","CTRL_fliv_B_1.sort.bam","CTRL_fliv_B_2.sort.bam","CTRL_fliv_D_1.sort.bam","CTRL_fliv_D_2.sort.bam","CTRL_fliv_E_1.sort.bam","CTRL_fliv_E_2.sort.bam","CTRL_fliv_F_1.sort.bam","CTRL_fliv_F_2.sort.bam"
"Itgb4",8.34398893977925,8.34366534495559,8.17119800390236,8.16835992526751,8.07598369843719,8.07951624137596,8.35775282927067,8.35967813749886,9.15940742289192,9.16153374026964,7.77220626039782,7.77220626039782,8.04540113700936,8.05066406893828,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Evpl",7.77220626039782,7.77220626039782,7.95229846185241,7.95222997775688,7.8694053824064,7.8695515714311,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.42309691896587,8.42675438672529,7.87209208817061,7.87236647652574,7.77220626039782,7.77220626039782,8.54258033183118,8.543306335396
"Cyth1",9.38322411185494,9.37794844641868,9.66665113516033,9.6542170140272,9.65457071120498,9.6512855948969,9.36184703380703,9.35695962924133,9.24781213559226,9.25005347937683,9.3670877761151,9.36879065376199,9.0811169744533,9.08197459953579,9.20293903758779,9.19800029474309,9.07016212239629,9.07133604790697
"Mrpl12",9.03218487511219,9.03150513209648,9.16312932957249,9.16664616410125,9.21323805431954,9.2252573514903,9.3997853526207,9.40469788484106,8.64003361661556,8.64142325740579,10.3835667779845,10.3924357056442,9.53601614299123,9.53080005618559,9.33588721753371,9.33532906201551,9.55475748099644,9.55628708116288
"Fasn",11.0418544149716,11.0405107324147,13.7359057707088,13.7321935137204,12.7499167450564,12.7522387088162,11.8495925820364,11.8514536829952,11.2604671562811,11.2715371037746,10.3415691385948,10.359383274456,11.3917678926245,11.3990643901221,11.2694329189613,11.2757944802748,11.7039988572297,11.7064391914686
"Ccdc57",9.10870678736412,9.10230340449785,8.32139512598077,8.29958439361156,8.43703828521495,8.40556484169561,8.72606564726474,8.67256738396609,9.09365922600721,9.0493922928044,7.77220626039782,7.77220626039782,8.34240282312743,8.3503255781314,8.5140019713922,8.24116153117606,8.33913056986463,8.33967055390243
"Gm11791",7.77220626039782,7.77220626039782,7.83800363682384,7.83797858777215,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.83918696828338,8.84501910684949,7.77220626039782,7.77220626039782,8.42188933064241,8.42163937591688,7.77220626039782,7.77220626039782
"AC160138.1",7.77220626039782,7.77220626039782,7.77220626039782,7.83797858777215,7.91634317112166,7.87883866228415,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.90432301385744,7.87236647652574,8.50438330821571,8.51371799913995,8.60682426988842,8.6198238399895
"Gm31938",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.83918696828338,8.83403849194322,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.39245637850301,8.3930456857723
"Gm48557",7.77220626039782,7.77220626039782,7.81873404740824,7.81871633275252,7.81568160599039,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.42188933064241,8.42163937591688,8.66600263145623,8.66683830023478
"Asap2",8.92927066444268,8.92864067790966,8.24460576595349,8.22370523427932,8.15990859791151,8.15563291543882,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.93009236563085,7.94561927130092,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Adi1",9.36536447419632,9.36453376533958,9.64912330592274,9.65201928919746,9.71192577492338,9.74777272733895,9.28199828753272,9.22261992068801,9.35375271465905,9.50161655577927,9.91918616006238,9.88261577245662,9.90536799463321,9.93755871937245,9.46204158335267,9.55934431582556,10.0660298660299,10.0549963119583
"Lrr1",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.88162923776633,8.88767222115951,7.77220626039782,7.77220626039782,8.22556769401114,8.22539177914152,7.77220626039782,7.77220626039782
"Klhdc1",7.77220626039782,7.77220626039782,7.95229846185241,7.77220626039782,7.94600910198311,7.93504057721253,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.64524794347553,8.98658475722389,7.94514458635282,7.94561927130092,8.42188933064241,8.66785576732165,7.77220626039782,7.77220626039782
"Gm48653",7.77220626039782,7.77220626039782,7.87622753006797,7.87618793946596,7.99788915010646,7.99822801713017,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.75972449603996,8.6077362616461,7.84284325860784,7.85895190558427,8.74224200913449,8.68320655622482,7.77220626039782,7.77220626039782
"Sgpp1",9.1199957666931,9.03759506290508,9.41917892417823,9.42180831435224,9.19181483281987,9.19550200385022,9.48959458399353,9.49183075771015,9.50431506149276,9.50687138342975,9.77799798194948,9.80649008739143,9.44811711408246,9.45106155652789,9.86869010146987,9.90303259247166,9.6511723334396,9.69192029235254
"Tex21",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.285898031224,9.28676265566572,7.77220626039782,7.77220626039782,8.62844660197815,8.62812112546686,7.77220626039782,7.77220626039782
"Dcaf4",7.77220626039782,7.77220626039782,8.16850988289168,8.17104704191935,8.19884861208861,8.20166666945015,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.61741973208154,8.83403849194322,8.14827665360027,8.14266623407259,8.48472318036029,8.56876882036566,8.67732013848141,8.66683830023478
"Tgfb3",7.77220626039782,7.77220626039782,7.95229846185241,7.95812592786061,7.95135136834029,7.95162056098612,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.46719114367322,9.47589170281995,7.85871424262458,7.85895190558427,8.17441990492784,7.77220626039782,8.27992356692044,8.33967055390243
"Spata7",8.38685168417517,8.38650452483919,8.11646318935848,8.11633272619959,8.0568420837207,8.06055372243594,8.3780125824293,8.38000261028082,8.44185228618016,8.4750562620463,7.77220626039782,7.77220626039782,8.04990328091521,8.05947753589409,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Gm8893",9.44786753127018,9.44700194978701,9.11869486439122,9.09920301049405,8.96885740770734,8.92719509835806,8.69521668073743,8.69186152286761,10.0445005586898,10.0544586657681,7.99713032411571,7.77220626039782,8.66793478877167,8.66900831578141,8.44353564100697,8.53255250287864,8.37523453627177,8.3930456857723
"Serpina3k",13.1985514145498,13.1794346258436,13.9657922385146,13.9658094739388,13.2180303783362,13.215511119951,13.3975124898542,13.3983366302626,12.2820779802053,12.2829496372496,11.5278570704802,11.5485775064453,12.7696814170292,12.7721239438099,12.903202861076,12.8865217001414,11.2360462066965,11.2356133904241
"Bdkrb2",8.96260203858414,8.96195578384012,7.91928272036836,7.93981369893649,7.92888776764991,7.92912327650432,8.62287719599759,8.63251353977953,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.00624935527492,8.00689112152849,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Ak7",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.99788915010646,7.99822801713017,7.77220626039782,8.25720225477963,7.77220626039782,7.77220626039782,8.52709247575965,8.98658475722389,7.94514458635282,7.94561927130092,8.69112133642966,8.71306182744733,8.33913056986463,8.42607884844519
